ID,email,number,date,cvc
1,giada.rovari@gmail.com,1234567890123456,12/2025,654
2,emanuele2000@hotmail.it,1234567890123456,12/2025,654
3,servalli.paola@gmail.com,1234567890123456,12/2025,654
4,silviabenaddi@hotmail.com,1234567890123456,12/2025,654
5,roberto.celi@gmail.com,1234567890123456,12/2025,654
6,eva.castelli@gmail.com,1234567891234567,06/2025,123
7,eva.castelli@gmail.com,1234567891234567,07/2025,125
8,eva.castelli@gmail.com,1234567891234567,06/2025,123
9,eva.castelli@gmail.com,1234567891234567,06/2024,123
10,eva.castelli@gmail.com,1234567891234567,07/2025,123
11,eva.castelli@gmail.com,1234567891234567,06/2024,123
12,eva.castelli@gmail.com,1234567891234567,06/2024,123
13,eva.castelli@gmail.com,1234567891234567,06/2025,123
14,eva.castelli@gmail.com,1234567891234567,06/2025,123
15,eva.castelli@gmail.com,1234567891234567,04/2025,123
16,eva.castelli@gmail.com,1234567891234567,05/2025,123
17,eva.castelli@gmail.com,1234567891234567,05/2025,123
18,eva.castelli@gmail.com,1234567890123456,09/2022,123
19,ghilardi.rita@hotmail.com,1234567890123456,12/2023,123
20,ghilardi.miriam@hotmail.com,1234567890123456,12/2022,123
21,eva.castelli@gmail.com,1234567890987654,09/2023,123
